aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,지역코드,계약일,평단가_만원
102,경희궁파크팰리스,11110-107,0095,0000,2003,개인,,,190000,22,8,2025,중개거래,서울 종로구,117.26,13,95,1,N,25.10.15,사직로8길,00020,00000,4100135,05,11110,0,11110,개인,11800,내수동,11110,2025-08-22,5356.0
,동대문맨션,11110-31,0578,0005,1973,개인,,,65000,23,8,2025,중개거래,서울 종로구,89.55,8,578-5,1,N,25.11.28,창신길,00020,00000,4100453,01,11110,0,11110,개인,17400,창신동,11110,2025-08-23,2400.0
201,인왕산2차아이파크,11110-2417,0088,0000,2015,개인,,,115000,27,8,2025,중개거래,서울 종로구,84.0284,11,88,1,N,25.10.31,통일로18길,00034,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-27,4524.0
201,인왕산2차아이파크,11110-2417,0088,0000,2015,개인,,,119500,29,8,2025,중개거래,"서울 서대문구, 서울 종로구",84.0284,14,88,1,N,26.01.06,통일로18길,00034,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-29,4701.0
105,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,168000,19,8,2025,중개거래,서울 종로구,121.37,5,9,1,N,26.02.25,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-08-19,4576.0
102,두산,11110-34,0232,0000,1999,개인,,,114500,18,8,2025,중개거래,서울 종로구,84.9,10,232,1,N,25.10.22,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동,11110,2025-08-18,4458.0
202,인왕산2차아이파크,11110-2417,0088,0000,2015,개인,,,119000,9,8,2025,중개거래,서울 종로구,84.2427,6,88,1,N,25.09.10,통일로18길,00034,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-09,4670.0
103,두산,11110-34,0232,0000,1999,개인,,,94500,26,8,2025,중개거래,"서울 동대문구, 서울 종로구",84.9,2,232,1,N,25.09.18,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동,11110,2025-08-26,3680.0
CS타워,CS타워,11110-2291,0062,0002,2011,개인,,,14000,28,8,2025,직거래,,21.94,5,62-2,1,N,25.09.11,율곡로20길,00024,00000,4100225,01,11110,0,11110,개인,16700,충신동,11110,2025-08-28,2109.0
102,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,158000,28,8,2025,중개거래,서울 종로구,94.28,6,9,1,N,25.11.28,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-08-28,5540.0
101,두산,11110-34,0232,0000,1999,개인,,,92000,28,8,2025,중개거래,"서울 서초구, 서울 종로구",84.9,1,232,1,N,26.01.06,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동,11110,2025-08-28,3582.0
,인왕산아이파크,11110-2212,0060,0000,2008,개인,25.09.21,O,130000,12,8,2025,중개거래,서울 서대문구,84.858,6,60,1,N,,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-12,5064.0
1,종로유케이201,11110-2334,0201,0011,2013,개인,,,9000,27,8,2025,중개거래,서울 종로구,12.01,7,201-11,1,N,25.09.08,난계로29길,00033,00004,4100030,01,11110,0,11110,개인,17500,숭인동,11110,2025-08-27,2477.0
101,종로센트레빌,11110-2224,0002,0001,2008,개인,,,90500,28,8,2025,중개거래,서울 종로구,59.92,9,2-1,1,N,26.01.23,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동,11110,2025-08-28,4993.0
101,현대,11110-90,0082,0000,2000,개인,,,85970,27,8,2025,중개거래,서울 종로구,60.0,1,82,1,N,25.12.01,통일로,00246,00020,3000008,06,11110,0,11110,개인,18700,무악동,11110,2025-08-27,4737.0
201,창신쌍용2,11110-91,0703,0000,1993,개인,,,63600,25,8,2025,중개거래,서울 종로구,54.7,11,703,1,N,25.10.29,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-08-25,3844.0
102,삼성,11110-73,0596,0000,1998,개인,,,63000,21,8,2025,중개거래,서울 종로구,59.95,15,596,1,N,25.09.23,평창문화로,00172,00000,3100023,00,11110,,11110,개인,18300,평창동,11110,2025-08-21,3474.0
포레스트힐시티,포레스트힐시티,11110-2440,0065,0002,2017,개인,,,19000,11,8,2025,중개거래,서울 종로구,18.7352,7,65-2,1,N,25.08.26,대학로,00033,00000,3100002,00,11110,0,11110,개인,16200,효제동,11110,2025-08-11,3353.0
삼전솔하임4차,삼전솔하임4차,11110-2368,0318,0002,2014,개인,,,15850,15,8,2025,중개거래,서울 종로구,15.93,17,318-2,1,N,25.10.15,지봉로4길,00013,00000,4100389,00,11110,0,11110,개인,17500,숭인동,11110,2025-08-15,3289.0
117,인왕산아이파크,11110-2212,0060,0000,2008,개인,,,141000,24,8,2025,중개거래,서울 종로구,84.858,9,60,1,N,26.02.27,통일로16길,00008,00003,4100480,00,11110,0,11110,개인,18700,무악동,11110,2025-08-24,5493.0
116,인왕산아이파크,11110-2212,0060,0000,2008,개인,,,124000,24,8,2025,중개거래,"경기 고양시 덕양구, 서울 종로구",59.993,13,60,1,N,26.02.27,통일로18길,00009,00000,4100482,01,11110,0,11110,개인,18700,무악동,11110,2025-08-24,6833.0
203,창신쌍용2,11110-91,0703,0000,1993,개인,,,66000,20,8,2025,중개거래,서울 종로구,64.66,7,703,1,N,25.10.20,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-08-20,3374.0
삼전솔하임4차,삼전솔하임4차,11110-2368,0318,0002,2014,개인,,,14000,20,8,2025,중개거래,서울 종로구,15.09,17,318-2,1,N,25.08.29,지봉로4길,00013,00000,4100389,00,11110,0,11110,개인,17500,숭인동,11110,2025-08-20,3067.0
현대뜨레비앙,현대뜨레비앙,11110-102,0055,0000,2003,개인,,,55500,5,8,2025,중개거래,서울 종로구,48.54,9,55,1,N,25.09.23,돈화문로11가길,00059,00000,4100050,03,11110,0,11110,개인,13300,익선동,11110,2025-08-05,3780.0
102,삼성,11110-73,0596,0000,1998,개인,,,86000,19,8,2025,중개거래,서울 종로구,84.93,10,596,1,N,25.09.26,평창문화로,00172,00000,3100023,00,11110,,11110,개인,18300,평창동,11110,2025-08-19,3347.0
103,종로청계힐스테이트,11110-2234,0766,0000,2009,개인,,,85000,19,8,2025,중개거래,서울 종로구,59.9426,3,766,1,N,26.02.02,숭인동길,00021,00000,4100204,01,11110,0,11110,개인,17500,숭인동,11110,2025-08-19,4688.0
402,경희궁자이(4단지),11110-2464,0126,0000,2017,개인,,,119000,19,8,2025,중개거래,서울 종로구,45.879,12,126,1,N,25.10.22,송월길,00155,00000,4100192,01,11110,,11110,개인,18000,교북동,11110,2025-08-19,8575.0
경희궁의 아침 4단지,경희궁의아침4단지,11110-117,0073,0000,2004,개인,,,252000,18,8,2025,중개거래,서울 종로구,150.77,6,73,1,N,25.10.30,새문안로3길,00023,00000,4100158,02,11110,0,11110,개인,11800,내수동,11110,2025-08-18,5525.0
삼전솔하임4차,삼전솔하임4차,11110-2368,0318,0002,2014,개인,,,13300,1,8,2025,중개거래,서울 종로구,15.09,15,318-2,1,N,25.09.30,지봉로4길,00013,00000,4100389,00,11110,0,11110,개인,17500,숭인동,11110,2025-08-01,2914.0
105,종로센트레빌,11110-2224,0002,0001,2008,개인,,,88000,14,8,2025,중개거래,서울 종로구,59.92,10,2-1,1,N,25.12.18,동망산길,00047,00000,4100065,02,11110,0,11110,개인,17500,숭인동,11110,2025-08-14,4855.0
101,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인,,,155000,13,8,2025,중개거래,서울 종로구,94.51,9,9,1,N,25.12.15,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동,11110,2025-08-13,5422.0
401,경희궁자이(4단지),11110-2464,0126,0000,2017,개인,,,119800,9,8,2025,중개거래,서울 종로구,45.879,8,126,1,N,25.11.21,송월길,00155,00000,4100192,01,11110,,11110,개인,18000,교북동,11110,2025-08-09,8632.0
203,창신쌍용2,11110-91,0703,0000,1993,개인,,,62300,14,8,2025,중개거래,서울 종로구,64.66,5,703,1,N,25.11.17,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-08-14,3185.0
202,창신쌍용2,11110-91,0703,0000,1993,개인,,,63000,12,8,2025,중개거래,서울 종로구,64.66,3,703,1,N,25.10.27,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동,11110,2025-08-12,3221.0
삼전솔하임4차,삼전솔하임4차,11110-2368,0318,0002,2014,개인,,,13000,12,8,2025,중개거래,서울 종로구,15.09,14,318-2,1,N,25.10.30,지봉로4길,00013,00000,4100389,00,11110,0,11110,개인,17500,숭인동,11110,2025-08-12,2848.0
102,경희궁파크팰리스,11110-107,0095,0000,2003,개인,,,224000,11,8,2025,중개거래,서울 종로구,148.09,16,95,1,N,25.11.18,사직로8길,00020,00000,4100135,05,11110,0,11110,개인,11800,내수동,11110,2025-08-11,5000.0
201,경희궁자이(2단지),11110-2445,0199,0000,2017,개인,,,255000,12,8,2025,중개거래,서울 종로구,84.9071,14,199,1,N,25.10.29,송월길,00099,00000,4100192,01,11110,,11110,개인,17900,홍파동,11110,2025-08-12,9928.0
,종로중흥S클래스,11110-2339,0202,0003,2013,개인,,,12400,2,8,2025,중개거래,서울 종로구,19.466,15,202-3,1,N,25.08.29,종로66길,00028,00000,4100372,01,11110,0,11110,개인,17500,숭인동,11110,2025-08-02,2106.0
